Ministry_05_06,Matched_Ministry_06_07,Match_Score,Match_Method
Agriculture and Cooperation,Agriculture and Cooperation,100,ratio
Land Resources,Land Resources,100,ratio
Social Justice and Empowerment,Power,100,partial_ratio
Small Scale Industries,Small Scale Industries,100,ratio
Road Transport and Highways,Road Transport and Highways,100,ratio
Shipping,Shipping,100,ratio
Biotechnology,Biotechnology,100,ratio
Scientific and Industrial Research,Scientific and Industrial Research,100,ratio
Science and Technology,Science and Technology,100,ratio
Drinking Water Supply,Drinking Water Supply,100,ratio
Rural Development,Rural Development,100,ratio
Agricultural Research and Education,Agricultural Research and Education,100,ratio
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President","The President, Parliament, Union Public Service Commission and the Secretariat of the Vice-President",100,ratio
Power,Power,100,ratio
Planning,Planning,100,ratio
Petroleum and Natural Gas,Petroleum and Natural Gas,100,ratio
"Personnel, Public Grievances and Pensions","Personnel, Public Grievances and Pensions",100,ratio
Parliamentary Affairs,Parliamentary Affairs,100,ratio
Ocean Development,Ocean Development,100,ratio
Panchayati Raj@,Panchayati Raj,100,ratio
Space,Space,100,ratio
Statistics and Programme Implementation,Statistics and Programme Implementation,100,ratio
Steel,Steel,100,ratio
Textiles,Textiles,100,ratio
Daman & Diu,Daman & Diu,100,ratio
Dadra & Nagar Haveli,Dadra & Nagar Haveli,100,ratio
Chandigarh,Chandigarh,100,ratio
Andaman & Nicobar Islands,Andaman & Nicobar Islands,100,ratio
Union Territories without Legislature,UNION TERRITORIES,100,partial_ratio
Pondicherry,Pondicherry,100,ratio
Union Territories with Legislature,UNION TERRITORIES,100,partial_ratio
UNION TERRITORIES,UNION TERRITORIES,100,ratio
North Eastern Region,Development of North Eastern Region,100,partial_ratio
DONER,DONER,100,ratio
Finance,Finance,100,ratio
Railways,Railways,100,ratio
Youth Affairs and Sports,Youth Affairs and Sports,100,ratio
Water Resources,Water Resources,100,ratio
Urban Development,Urban Development,100,ratio
Tribal Affairs,Tribal Affairs,100,ratio
Tourism,Tourism,100,ratio
Overseas Indian Affairs@,Overseas Indian Affairs,100,ratio
Non-Conventional Energy Sources,Non-Conventional Energy Sources,100,ratio
Supreme Court of India,Supreme Court of India,100,ratio
Law and Justice,Law and Justice,100,ratio
Culture,Agriculture and Cooperation,100,partial_ratio
Food and Public Distribution,Food and Public Distribution,100,ratio
Consumer Affairs,Consumer Affairs,100,ratio
Company Affairs,Company Affairs,100,ratio
Information Technology,Information Technology,100,ratio
Telecommunications,Telecommunications,100,ratio
Posts,Posts,100,ratio
Industrial Policy and Promotion,Industrial Policy and Promotion,100,ratio
Commerce,Commerce,100,ratio
Mines,Mines,100,ratio
Coal,Coal,100,ratio
Civil Aviation,Civil Aviation,100,ratio
Fertilisers,Fertilisers,100,ratio
Chemicals and Petro-Chemicals,Chemicals and Petro-Chemicals,100,ratio
Atomic Energy,Atomic Energy,100,ratio
Agro and Rural Industries,Agro and Rural Industries,100,ratio
Animal Husbandry and Dairying,"Animal Husbandry, Dairying and Fisheries",100,token_set
Defence (Civil estimates),Defence (Civil estimates),100,ratio
Defence Services,Defence (Civil estimates),100,partial_ratio
Development of North Eastern Region,Development of North Eastern Region,100,ratio
Environment and Forests,Environment and Forests,100,ratio
Election Commission,Election Commission,100,ratio
Labour and Employment,Labour and Employment,100,ratio
Information and Broadcasting,Information and Broadcasting,100,ratio
Women and Child Development,Women and Child Development,100,ratio
Secondary Education and Higher Education,Secondary Education and Higher Education,100,ratio
Elementary Education and Literacy,Elementary Education and Literacy,100,ratio
Home Affairs,Home Affairs,100,ratio
Public Enterprises,Public Enterprises,100,ratio
Heavy Industry,Heavy Industry,100,ratio
Health,Health,100,ratio
Food Processing Industries,Food Processing Industries,100,ratio
Disinvestment,Disinvestment,100,ratio
Expenditure,Expenditure,100,ratio
Economic Affairs (centralised provisions),Economic Affairs (centralised provisions),100,ratio
External Affairs,External Affairs,100,ratio
Lakshadweep,Lakshadweep,100,ratio
Central Pool of Resources for NE and Sikkim,Central Pool of Resources for NER and Sikkim,99,ratio
"Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy(AYUSH)","Ayurveda, Yoga & Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",75,partial_ratio
Family Welfare,,0,
